"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.994664190E-1,-2.138026757E-3,-2.367101051E-2,-4.276053514E-3
2.015916270E-1,2.748891478E-3,-9.010255337E-3,-1.832594397E-3
2.037168360E-1,3.054323897E-4,3.207040019E-3,-6.108647794E-4
2.058420440E-1,-9.162971983E-4,-2.901607659E-3,-1.832594397E-3
2.079672520E-1,2.748891478E-3,-1.389717404E-2,-1.832594397E-3
2.100924610E-1,1.527161920E-3,-1.511890348E-2,-6.108647794E-4
2.122176690E-1,-2.138026757E-3,-1.267544460E-2,-3.054323839E-3
2.143428770E-1,1.527161920E-3,-1.023198478E-2,-3.054323839E-3
2.164680860E-1,2.748891478E-3,-9.010255337E-3,-6.108647794E-4
2.185932940E-1,-9.162971983E-4,-9.010255337E-3,-1.832594397E-3
2.207185020E-1,-3.359756200E-3,-1.634063199E-2,-1.832594397E-3
2.228437110E-1,3.054323897E-4,-2.122755162E-2,-3.054323839E-3
2.249689190E-1,1.527161920E-3,-1.023198478E-2,-4.276053514E-3
2.270941270E-1,-9.162971983E-4,-4.581485991E-4,-4.276053514E-3
2.292193360E-1,1.527161920E-3,1.786779426E-2,-1.832594397E-3
2.313445440E-1,1.527161920E-3,2.886336111E-2,-1.832594397E-3
2.334697520E-1,3.970621154E-3,2.641990222E-2,-1.832594397E-3
2.355949610E-1,6.414080039E-3,1.175914705E-2,-1.832594397E-3
2.377201690E-1,7.635809947E-3,-4.581485991E-4,-1.832594397E-3
2.398453770E-1,6.414080039E-3,-7.788525894E-3,-6.108647794E-4
2.419705860E-1,7.635809947E-3,-1.145371422E-2,-6.108647794E-4
2.440957940E-1,1.007926930E-2,-1.511890348E-2,6.108647794E-4
2.462209500E-1,5.192350596E-3,-1.389717404E-2,6.108647794E-4
2.483461580E-1,-9.162971983E-4,-6.566796452E-3,-6.108647794E-4
2.504713670E-1,-4.581485875E-3,6.872228812E-3,-3.054323839E-3
2.525965750E-1,-4.581485875E-3,2.031125315E-2,-3.054323839E-3
2.547217830E-1,-4.581485875E-3,2.519817278E-2,-6.108647794E-4
2.568469920E-1,-2.138026757E-3,1.053741761E-2,6.108647794E-4
