"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.765072000E-1,3.541377485E-1,-4.785645287E-3,9.954142570E0
1.786324080E-1,2.488535494E-1,5.934200287E-1,9.719645500E0
1.807576170E-1,7.178468257E-2,9.954141974E-1,9.633503914E0
1.828828250E-1,-1.292124242E-1,7.992027402E-1,9.767501831E0
1.850080330E-1,-4.785645381E-2,5.742774606E-1,9.781859398E0
1.871332420E-1,1.914258152E-1,6.029912829E-1,9.714859962E0
1.892584500E-1,2.536391914E-1,5.120640397E-1,9.705288887E0
1.913836580E-1,3.828516230E-2,4.450650215E-1,9.891928673E0
1.935088670E-1,-3.445664644E-1,4.402793646E-1,9.963713646E0
1.956340230E-1,-5.407779217E-1,5.551348329E-1,1.001635551E1
1.977592310E-1,-3.062812984E-1,4.402793646E-1,1.018385315E1
1.998844400E-1,2.871387079E-2,8.135596663E-2,1.035613632E1
2.020096480E-1,1.627119333E-1,2.392822690E-2,1.016949654E1
2.041348560E-1,9.571290761E-2,9.571290761E-2,1.006899738E1
2.062600650E-1,-1.339980662E-1,1.866401732E-1,1.017906761E1
2.083852730E-1,-2.249253243E-1,5.359922647E-1,1.003549862E1
2.105104810E-1,-2.392822653E-1,7.657032609E-1,9.968499184E0
2.126356900E-1,-7.657032460E-2,6.508477330E-1,1.012642574E1
2.147608980E-1,1.196411327E-1,6.460621357E-1,1.004985523E1
2.168861060E-1,8.135596663E-2,8.087740541E-1,9.915857315E0
2.190113150E-1,-5.264209956E-2,9.236295223E-1,1.002592659E1
2.211365230E-1,-4.115654826E-1,8.039883971E-1,1.038485050E1
2.232617310E-1,-6.077769399E-1,4.977070987E-1,1.058584690E1
2.253869400E-1,-3.206382394E-1,3.589234054E-1,1.058106136E1
2.275121480E-1,-1.962114573E-1,1.483550072E-1,1.060499001E1
2.296373560E-1,-1.387837082E-1,-9.571290575E-3,1.041356373E1
2.317625650E-1,-8.614161611E-2,-5.742774159E-2,1.009292603E1
2.338877730E-1,-2.967100143E-1,-9.571290761E-2,9.887143135E0
2.360129810E-1,-3.637090325E-1,2.392822690E-2,9.743574142E0
2.381381900E-1,-3.828516230E-2,3.876372576E-1,9.533005714E0
2.402633980E-1,2.249253243E-1,6.604190469E-1,9.561718941E0
2.423886060E-1,2.344966233E-1,6.364908218E-1,9.738788605E0
2.445138150E-1,1.866401732E-1,6.508477330E-1,9.805787086E0
2.466389710E-1,-1.914258115E-2,8.374879360E-1,9.844072342E0
2.487641790E-1,-2.919243574E-1,9.044869542E-1,9.949356079E0
2.508893880E-1,-3.349951804E-1,5.838487148E-1,9.896714211E0
2.530145960E-1,-4.067798555E-1,2.871387303E-1,9.710074425E0
2.551398040E-1,-3.828516304E-1,3.972085714E-1,9.470791817E0
2.572650130E-1,-2.871387303E-1,4.929214716E-1,9.494720459E0
2.593902210E-1,-3.684946895E-1,3.254238665E-1,9.781859398E0
2.615154290E-1,-4.546363056E-1,1.866401732E-1,9.949356079E0
2.636406380E-1,-2.344966233E-1,-7.657032460E-2,1.015035343E1
2.657658460E-1,-1.531406492E-1,-2.632105052E-1,1.033220863E1
2.678910540E-1,3.349951655E-2,1.818545163E-1,1.013599682E1
2.700162630E-1,-9.571290575E-3,6.221339107E-1,9.958928108E0
2.721414710E-1,-3.637090325E-1,6.029912829E-1,1.003549862E1
2.742666790E-1,-4.115654826E-1,6.508477330E-1,9.820143700E0
2.763918880E-1,-3.541377485E-1,8.087740541E-1,9.681360245E0
2.785170960E-1,-2.823530734E-1,6.412764788E-1,9.786644936E0
2.806423040E-1,-1.818545163E-1,4.163511395E-1,9.868000984E0
2.827675130E-1,-2.919243574E-1,3.397808075E-1,9.796216011E0
2.848927210E-1,-3.924229145E-1,4.642075896E-1,9.939785004E0
2.870179290E-1,-4.115654826E-1,3.349951804E-1,1.019342422E1
2.891431380E-1,-3.589234054E-1,-1.435693540E-2,1.017428207E1
2.912683460E-1,3.349951655E-2,-9.571290761E-2,1.000199890E1
2.933935540E-1,3.924229145E-1,-2.727817893E-1,9.997213364E0
2.955187630E-1,3.732803464E-1,-2.057827413E-1,9.834501266E0
2.976439190E-1,4.211367965E-1,6.125625968E-1,9.494720459E0
2.997691270E-1,2.440679073E-1,9.475577474E-1,9.623932838E0
3.018943360E-1,-7.178468257E-2,7.082754970E-1,9.858428955E0
3.040195440E-1,1.914258115E-2,7.034898400E-1,9.767501831E0
3.061447520E-1,3.732803464E-1,6.556333899E-1,9.705288887E0
3.082699610E-1,2.440679073E-1,5.694918036E-1,9.748359680E0
