"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.059530810E-1,-3.445664644E-1,9.379864931E-1,9.083154678E0
2.080781850E-1,-3.349951804E-1,1.320838094E0,9.279366493E0
2.102033410E-1,-2.297109663E-1,1.363908887E0,9.523433685E0
2.123284450E-1,1.435693540E-2,1.024128079E0,9.963713646E0
2.144535490E-1,2.009970993E-1,7.704889178E-1,1.049970531E1
2.165786540E-1,1.866401732E-1,5.647061467E-1,1.060020447E1
2.187037580E-1,3.541377485E-1,1.105484009E0,1.043749237E1
2.208288620E-1,1.914258152E-1,1.143769264E0,9.829715729E0
2.229540180E-1,-2.249253243E-1,1.057627559E0,9.437292099E0
2.250791220E-1,-4.354937077E-1,1.172483087E0,9.513862610E0
2.272042270E-1,-2.057827413E-1,1.368694544E0,9.815358162E0
2.293293310E-1,5.742774159E-2,1.052842021E0,1.014556789E1
2.314544350E-1,3.684946895E-1,7.130611539E-1,1.037049294E1
2.335795390E-1,6.029912829E-1,3.206382394E-1,1.019820976E1
2.357046950E-1,1.770688742E-1,7.657032460E-2,9.891928673E0
2.378297990E-1,-3.828516230E-2,9.906286001E-1,9.533005714E0
2.399549040E-1,-3.972085714E-1,1.239482164E0,9.408578873E0
2.420800080E-1,-2.871387303E-1,1.019342422E0,9.690931320E0
2.442051120E-1,-2.392822690E-2,1.110269666E0,9.829715729E0
2.463302160E-1,-1.962114573E-1,1.167697430E0,9.585647583E0
2.484553720E-1,-2.105683982E-1,1.225125194E0,9.734002113E0
2.505804770E-1,-5.742774159E-2,1.095912814E0,1.019342422E1
2.527055810E-1,4.259224236E-1,5.407779217E-1,1.035135078E1
2.548306850E-1,5.072783828E-1,6.125625968E-1,1.030827999E1
2.569557890E-1,4.689932466E-1,1.038485050E0,1.022692394E1
2.590808930E-1,1.579262912E-1,1.067198873E0,1.004985523E1
2.612059970E-1,1.052841991E-1,9.810572863E-1,9.925428391E0
2.633311540E-1,-1.914258152E-1,1.167697430E0,9.963713646E0
2.654562580E-1,-5.359922647E-1,1.115055323E0,1.003549862E1
2.675813620E-1,1.770688742E-1,9.044869542E-1,1.022692394E1
2.697064660E-1,5.599204898E-1,3.924229145E-1,1.034656525E1
2.718315700E-1,5.312066078E-1,3.684946895E-1,1.041835022E1
2.739566740E-1,7.178468257E-2,8.374879360E-1,1.050449181E1
2.760817790E-1,-1.052841991E-1,1.105484009E0,1.026042366E1
2.782069350E-1,-3.637090325E-1,1.162911773E0,9.628718376E0
2.803320390E-1,-3.014956415E-1,1.081555843E0,9.207581520E0
2.824571430E-1,-3.349951655E-2,1.129412293E0,9.308079720E0
2.845821950E-1,2.392822690E-2,1.287338614E0,9.762716293E0
2.867073520E-1,1.100698411E-1,1.052842021E0,1.021256733E1
2.888324560E-1,-2.392822690E-2,7.992027402E-1,1.063370419E1
2.909576120E-1,2.392822653E-1,6.508477330E-1,1.090648556E1
2.930827160E-1,5.072783828E-1,8.087740541E-1,1.066720295E1
2.952078200E-1,1.004985496E-1,1.143769264E0,9.911071777E0
2.973329240E-1,-2.392822653E-1,1.186840057E0,9.375079155E0
2.994580290E-1,-4.929214716E-1,9.236295223E-1,9.279366493E0
3.015831330E-1,-3.972085714E-1,1.311266780E0,9.432506561E0
3.037082890E-1,-1.244267747E-1,1.191625714E0,9.638289452E0
3.058333930E-1,3.014956415E-1,9.140582681E-1,1.006421185E1
3.079584970E-1,4.163511395E-1,6.508477330E-1,1.053320503E1
3.100836020E-1,1.627119333E-1,2.344966233E-1,1.038485050E1
3.122087060E-1,-6.699903309E-2,8.709874153E-1,1.015513897E1
3.143337580E-1,-3.014956415E-1,1.459621787E0,9.805787086E0
3.164589140E-1,-3.637090325E-1,1.076770186E0,9.537791252E0
3.185840700E-1,1.052841991E-1,1.009771109E0,9.518648148E0
3.207091740E-1,1.148554832E-1,1.354337573E0,9.528220177E0
3.228342790E-1,-3.828516230E-2,1.239482164E0,9.934999466E0
3.249593830E-1,1.579262912E-1,1.191625714E0,1.028913784E1
3.270844870E-1,2.536391914E-1,9.236295223E-1,1.034177971E1
3.292095910E-1,1.722832322E-1,8.374879360E-1,1.027478027E1
3.313346950E-1,4.977070987E-1,1.296909928E0,1.041835022E1
3.334598520E-1,2.249253243E-1,1.225125194E0,1.015513897E1
3.355849560E-1,0.000000000E0,1.009771109E0,9.743574142E0
3.377100600E-1,-2.823530734E-1,1.316052437E0,9.676574707E0
3.398351640E-1,-4.737788737E-1,1.229910851E0,9.920642853E0
3.419602680E-1,2.249253243E-1,1.091127157E0,1.044706345E1
3.440854240E-1,7.082754970E-1,6.412764788E-1,1.064806080E1
3.462105290E-1,4.642075896E-1,4.211367965E-1,1.055713367E1
3.483356330E-1,1.674975902E-1,9.954141974E-1,1.072941685E1
3.504607370E-1,4.785645381E-2,1.301695466E0,1.065284634E1
3.525858410E-1,-9.092725813E-2,9.427721500E-1,9.920642853E0
3.547109450E-1,-1.100698411E-1,9.858429432E-1,9.379864693E0
3.568360490E-1,-8.614161611E-2,9.667003751E-1,9.518648148E0
3.589612060E-1,8.135596663E-2,1.392622828E0,9.724431038E0
3.610863100E-1,2.153540403E-1,1.363908887E0,1.013599682E1
3.632114140E-1,-1.674975902E-1,9.475577474E-1,1.058106136E1
3.653365180E-1,-1.339980662E-1,9.667003751E-1,1.082991505E1
3.674616220E-1,3.110669553E-1,1.081555843E0,1.087298584E1
